=== RADAR COMMUNICATIONS LOG ===
City: New York
Application started: 2025-12-10 16:33:41
==================================================
[16:33:48] Radar communication initialized for New York
[16:33:49] John #3 moving 🚀 Northwest (885 units)
[16:33:49] Emily #6 moving 🚀 Southwest (437 units)
[16:33:49] Jane #8 moving 🚀 Southeast (245 units)
[16:33:49] John #5 moving 🚀 East (507 units)
[16:33:49] Emily #10 moving 🚀 North (572 units)
[16:33:49] Lisa #10 moving 🚀 North (690 units)
[16:33:50] David #2 moving 🚀 South (531 units)
[16:33:50] John #9 moving 🚀 Southwest (830 units)
[16:33:50] David #8 moving 🚀 Northeast (44 units)
[16:33:50] Amanda #2 moving 🚀 Northwest (128 units)
[16:33:50] Amanda #3 moving 🚀 West (247 units)
[16:33:50] Emily #9 moving 🚀 West (569 units)
[16:33:51] Robert #3 moving 🚀 East (225 units)
[16:33:51] David #4 moving 🚀 West (333 units)
[16:33:51] Sarah #9 moving 🚀 North (951 units)
[16:33:51] David #8 moving 🚀 Southeast (137 units)
[16:33:51] Lisa #3 moving 🚀 Northeast (1388 units)
[16:33:52] Michael #7 moving 🚀 Northeast (697 units)
[16:33:52] Michael #10 moving 🚀 West (95 units)
[16:33:53] Sarah #2 moving 🚀 South (647 units)
[16:33:53] Amanda #2 moving 🚀 Southwest (762 units)
[16:33:53] Emily #8 moving 🚀 Southeast (495 units)
[16:33:53] Jane #1 moving 🚀 East (843 units)
[16:33:53] David #3 moving 🚀 South (351 units)
[16:33:54] David #8 moving 🚀 West (890 units)
[16:33:54] Emily #7 moving 🚀 South (662 units)
[16:33:54] Michael #6 moving 🚀 Northeast (803 units)
[16:33:54] Jane #8 moving 🚀 East (1050 units)
[16:33:54] Robert #4 moving 🚀 Northwest (808 units)
[16:33:54] David #8 acknowledges radio instruction: Proceeding to (355,884) - Direct routing
[16:33:54] ATC-NEW → David #8
📡 ROUTE OPTIMIZATION
➤ Direct route cleared
---

[16:33:54] Michael #4 moving 🚀 West (1125 units)
[16:33:54] Lisa #6 moving 🚀 Southeast (555 units)
[16:33:54] Michael #10 moving 🚀 East (875 units)
[16:33:54] Robert #7 moving 🚀 Southwest (320 units)
[16:33:55] Lisa #1 moving 🚀 Northwest (417 units)
[16:33:55] Amanda #8 moving 🚀 Northeast (412 units)
[16:33:55] David #7 moving 🚀 Southeast (523 units)
[16:33:55] Amanda #3 moving 🚀 Northeast (1032 units)
[16:33:55] Chris #5 moving 🚀 North (270 units)
[16:33:55] Robert #3 moving 🚀 South (598 units)
[16:33:56] David #1 moving 🚀 Northwest (822 units)
[16:33:56] David #6 moving 🚀 Southwest (701 units)
[16:33:56] John #8 moving 🚀 South (785 units)
[16:33:56] Lisa #5 moving 🚀 West (825 units)
[16:33:56] Michael #9 moving 🚀 West (216 units)
[16:33:57] Sarah #7 moving 🚀 Northeast (823 units)
[16:33:57] Emily #2 moving 🚀 Northeast (613 units)
[16:33:57] Michael #1 moving 🚀 Southwest (154 units)
[16:33:57] Jane #9 moving 🚀 North (580 units)
[16:33:58] John #10 moving 🚀 East (220 units)
[16:33:58] David #4 moving 🚀 East (925 units)
[16:33:58] Jane #6 moving 🚀 East (408 units)
[16:33:58] Chris #10 moving 🚀 Southeast (1154 units)
[16:33:58] Robert #10 moving 🚀 West (289 units)
[16:33:58] David #5 moving 🚀 Northeast (766 units)
[16:33:58] Robert #9 moving 🚀 Southeast (156 units)
[16:33:58] Emily #6 moving 🚀 South (403 units)
[16:33:58] Michael #5 moving 🚀 East (839 units)
[16:33:58] Emily #3 moving 🚀 Southeast (437 units)
[16:33:58] Robert #2 moving 🚀 Southwest (308 units)
[16:33:58] Emily #5 moving 🚀 Northwest (320 units)
[16:33:58] Sarah #3 moving 🚀 Southeast (678 units)
[16:33:58] Sarah #5 moving 🚀 South (657 units)
[16:33:58] Sarah #1 moving 🚀 Northeast (631 units)
[16:33:59] Michael #3 moving 🚀 Northeast (849 units)
[16:33:59] Amanda #6 moving 🚀 South (341 units)
[16:33:59] Sarah #10 moving 🚀 Southwest (1010 units)
[16:33:59] David #9 moving 🚀 Northwest (286 units)
[16:33:59] John #7 moving 🚀 Northeast (752 units)
[16:33:59] Lisa #2 moving 🚀 Southeast (607 units)
[16:33:59] Chris #3 moving 🚀 Northeast (129 units)
[16:33:59] Jane #2 moving 🚀 West (465 units)
[16:33:59] John #5 moving 🚀 Northwest (502 units)
[16:34:00] Amanda #4 moving 🚀 Northwest (675 units)
[16:34:00] Amanda #10 moving 🚀 East (121 units)
[16:34:00] John #6 moving 🚀 Southwest (458 units)
[16:34:00] Michael #1 moving 🚀 Northwest (903 units)
[16:34:01] Lisa #7 moving 🚀 Northwest (1082 units)
[16:34:01] Lisa #9 moving 🚀 Southeast (1086 units)
[16:34:01] David #2 moving 🚀 North (429 units)
[16:34:01] Chris #6 moving 🚀 Northeast (453 units)
[16:34:01] John #2 moving 🚀 West (669 units)
[16:34:01] David #3 moving 🚀 Northwest (879 units)
[16:34:01] Chris #5 moving 🚀 Southeast (845 units)
[16:34:01] Michael #9 moving 🚀 Northwest (848 units)
[16:34:01] Robert #6 moving 🚀 South (833 units)
[16:34:01] Jane #7 moving 🚀 North (488 units)
[16:34:01] Robert #7 moving 🚀 Northeast (1114 units)
[16:34:01] Robert #9 moving 🚀 North (811 units)
[16:34:01] Emily #10 moving 🚀 West (327 units)
[16:34:01] Jane #10 moving 🚀 Northwest (118 units)
[16:34:01] Robert #8 moving 🚀 South (216 units)
[16:34:02] Emily #4 moving 🚀 South (317 units)
[16:34:02] Chris #3 moving 🚀 East (632 units)
